"Country";"Region";"Year";"Birth Rate";"Business Tax Rate";"CO2 Emissions";"Days to Start Business";"Ease of Business";"Energy Usage";"GDP";"Health Exp % GDP";"Health Exp/Capita";"Hours to do Tax";"Infant Mortality Rate";"Internet Usage";"Lending Interest";"Life Expectancy Female";"Life Expectancy Male";"Mobile Phone Usage";"Number of Records";"Population 0-14";"Population 15-64";"Population 65+";"Population Total";"Population Urban";"Tourism Inbound";"Tourism Outbound";"id"
"Guinea";"Africa";"12/1/2000";"0.04";"";"1280.00";"30.3846";"";"";"2995360969.00";"0.06";"19.00";"";"0.103";"0.00";"0.194";"51";"51";"0.00";"1.00";"0.440";"0.53";"0.03";"8746128.00";"0.31";"7800000.00";"13000000.00";22
"Guinea-Bissau";"Africa";"12/1/2000";"0.04";"";"147.00";"114.308";"";"";"361858968.00";"0.05";"16.00";"";"0.109";"0.00";"";"53";"50";"";"1.00";"0.435";"0.53";"0.03";"1273312.00";"0.37";"";"";23
"Kenya";"Africa";"12/1/2000";"0.04";"";"10418.00";"32.3846";"";"14055.00";"12705350153.00";"0.05";"19.00";"";"0.069";"0.00";"0.223";"54";"52";"0.00";"1.00";"0.442";"0.53";"0.03";"31285050.00";"0.20";"500000000.00";"156000000.00";24
"Lesotho";"Africa";"12/1/2000";"0.03";"";"5.30769";"47.2308";"";"";"771200632.00";"0.07";"29.00";"";"0.081";"0.00";"0.171";"48";"47";"0.00";"1.00";"0.412";"0.54";"0.05";"1856225.00";"0.20";"18000000.00";"195000000.00";25
"Liberia";"Africa";"12/1/2000";"0.04";"";"436.00";"16.8462";"";"";"529064647.00";"0.06";"11.00";"";"0.119";"0.00";"0.205";"53";"52";"0.00";"1.00";"0.432";"0.54";"0.03";"2891968.00";"0.44";"";"";26
"Libya";"Africa";"12/1/2000";"0.02";"";"47114.00";"2.69231";"";"15901.00";"33896600871.00";"0.03";"252.00";"";"0.024";"0.00";"0.070";"74";"70";"0.00";"1.00";"0.333";"0.63";"0.04";"5176185.00";"0.76";"84000000.00";"495000000.00";27
"Madagascar";"Africa";"12/1/2000";"0.04";"";"1874.00";"16.4615";"";"";"3877673635.00";"0.05";"12.00";"";"0.071";"0.00";"0.265";"60";"57";"0.00";"1.00";"0.455";"0.52";"0.03";"15744811.00";"0.27";"152000000.00";"139000000.00";28
"Malawi";"Africa";"12/1/2000";"0.05";"";"906.00";"30.5385";"";"";"1743506287.00";"0.06";"9.00";"";"0.103";"0.00";"0.531";"46";"46";"0.00";"1.00";"0.458";"0.51";"0.03";"11321496.00";"0.15";"29000000.00";"53000000.00";29
"Mali";"Africa";"12/1/2000";"0.05";"";"543.00";"18.9231";"";"";"2422482318.00";"0.06";"16.00";"";"0.116";"0.00";"";"49";"49";"0.00";"1.00";"0.461";"0.50";"0.04";"10260577.00";"0.28";"47000000.00";"66000000.00";30
"Mauritania";"Africa";"12/1/2000";"0.04";"";"1236.00";"37.5385";"";"";"1293653473.00";"0.06";"24.00";"";"0.076";"0.00";"0.256";"61";"58";"0.00";"1.00";"0.428";"0.54";"0.03";"2708095.00";"0.49";"";"";31
"Mauritius";"Africa";"12/1/2000";"0.02";"";"2769.00";"13.4615";"";"";"4582562398.00";"0.04";"146.00";"";"0.016";"0.10";"0.208";"75";"68";"0.20";"1.00";"0.258";"0.68";"0.06";"1186873.00";"0.43";"732000000.00";"203000000.00";32
"Morocco";"Africa";"12/1/2000";"0.02";"";"33905.00";"11.0769";"";"10238.00";"37020609825.00";"0.04";"54.00";"";"0.043";"0.00";"0.133";"70";"67";"0.10";"1.00";"0.341";"0.61";"0.05";"28710123.00";"0.53";"2280000000.00";"506000000.00";33
"Mozambique";"Africa";"12/1/2000";"0.04";"";"1349.00";"53.2308";"";"7173.00";"4310090791.00";"0.06";"15.00";"";"0.114";"0.00";"0.190";"49";"46";"0.00";"1.00";"0.438";"0.53";"0.03";"18275618.00";"0.29";"74000000.00";"122000000.00";34
"Namibia";"Africa";"12/1/2000";"0.03";"";"1643.00";"60.6923";"";"978.00";"3908645566.00";"0.06";"126.00";"";"0.049";"0.00";"0.153";"57";"53";"0.00";"1.00";"0.405";"0.56";"0.03";"1897953.00";"0.32";"193000000.00";"86000000.00";35
"Niger";"Africa";"12/1/2000";"0.05";"";"796.00";"18.3846";"";"";"1798374533.00";"0.06";"10.00";"";"0.101";"0.00";"";"51";"51";"0.00";"1.00";"0.479";"0.50";"0.03";"10989815.00";"0.16";"23000000.00";"32000000.00";36
"Nigeria";"Africa";"12/1/2000";"0.04";"";"79182.00";"23.0769";"";"90596.00";"46385996027.00";"0.05";"17.00";"";"0.113";"0.00";"0.213";"47";"46";"0.00";"1.00";"0.435";"0.54";"0.03";"122876727.00";"0.35";"186000000.00";"610000000.00";37
"Rwanda";"Africa";"12/1/2000";"0.04";"";"686.00";"8.61539";"";"";"1734938190.00";"0.04";"9.00";"";"0.108";"0.00";"0.170";"49";"47";"0.00";"1.00";"0.466";"0.51";"0.03";"8395577.00";"0.15";"27000000.00";"35000000.00";38
"Sao Tome and Principe";"Africa";"12/1/2000";"0.04";"";"48.00";"82.3846";"";"";"76709305.00";"0.09";"46.00";"";"0.058";"0.00";"0.397";"65";"62";"";"1.00";"0.440";"0.52";"0.04";"139428.00";"0.53";"9900000.00";"2200000.00";39
"Senegal";"Africa";"12/1/2000";"0.04";"";"3938.00";"25.6923";"";"2398.00";"4679604922.00";"0.05";"22.00";"";"0.069";"0.00";"";"59";"56";"0.00";"1.00";"0.451";"0.52";"0.03";"9861679.00";"0.40";"152000000.00";"125000000.00";40
"Seychelles";"Africa";"12/1/2000";"0.02";"";"565.00";"24";"";"";"614877971.00";"0.05";"371.00";"";"0.012";"0.10";"0.107";"";"";"0.30";"1.00";"0.282";"0.64";"0.08";"81131.00";"0.50";"225000000.00";"44000000.00";41
"Sierra Leone";"Africa";"12/1/2000";"0.04";"";"425.00";"15";"";"";"635874002.00";"0.18";"28.00";"";"0.141";"0.00";"0.263";"39";"37";"0.00";"1.00";"0.430";"0.55";"0.03";"4139757.00";"0.36";"10000000.00";"35000000.00";42
"Somalia";"Africa";"12/1/2000";"0.05";"";"517.00";"0";"";"";"";"";"";"";"0.105";"0.00";"";"52";"49";"0.00";"1.00";"0.472";"0.50";"0.03";"7385416.00";"0.33";"";"";43
"South Africa";"Africa";"12/1/2000";"0.02";"";"368611.00";"21.6154";"";"109264.00";"132877640158.00";"0.08";"246.00";"";"0.052";"0.10";"0.145";"58";"54";"0.20";"1.00";"0.330";"0.64";"0.03";"44000000.00";"0.57";"3338000000.00";"2684000000.00";44
"Sudan";"Africa";"12/1/2000";"0.04";"";"5534.00";"26.0769";"";"13340.00";"12257299163.00";"0.03";"15.00";"";"0.069";"0.00";"";"60";"56";"0.00";"1.00";"0.437";"0.53";"0.03";"27729798.00";"0.33";"5000000.00";"55000000.00";46
"Swaziland";"Africa";"12/1/2000";"0.03";"";"1188.00";"36";"";"";"1524490159.00";"0.05";"75.00";"";"0.080";"0.00";"0.140";"49";"48";"0.00";"1.00";"0.446";"0.52";"0.03";"1063715.00";"0.23";"24000000.00";"32000000.00";47
"Tanzania";"Africa";"12/1/2000";"0.04";"";"2651.00";"20.5385";"";"13390.00";"10185786171.00";"0.03";"10.00";"";"0.080";"0.00";"0.216";"51";"49";"0.00";"1.00";"0.448";"0.52";"0.03";"34020512.00";"0.22";"381000000.00";"369000000.00";48
"Togo";"Africa";"12/1/2000";"0.04";"";"1357.00";"51.7692";"";"2111.00";"1294250280.00";"0.05";"14.00";"";"0.077";"0.00";"";"54";"53";"0.00";"1.00";"0.442";"0.53";"0.03";"4864753.00";"0.33";"11000000.00";"15000000.00";49
"Tunisia";"Africa";"12/1/2000";"0.02";"";"19923.00";"8.46154";"";"7306.00";"21473188882.00";"0.05";"123.00";"";"0.026";"0.00";"";"75";"71";"0.00";"1.00";"0.298";"0.64";"0.06";"9563500.00";"0.63";"1977000000.00";"310000000.00";50
"Uganda";"Africa";"12/1/2000";"0.05";"";"1533.00";"22.9231";"";"";"6193246632.00";"0.07";"16.00";"";"0.089";"0.00";"0.229";"48";"48";"0.00";"1.00";"0.493";"0.48";"0.03";"24275641.00";"0.12";"165000000.00";"";51
"Zambia";"Africa";"12/1/2000";"0.05";"";"1819.00";"20.1538";"";"6244.00";"3253551750.00";"0.06";"18.00";"";"0.100";"0.00";"0.388";"42";"42";"0.00";"1.00";"0.457";"0.52";"0.03";"10100981.00";"0.35";"67000000.00";"102000000.00";52
"Zimbabwe";"Africa";"12/1/2000";"0.03";"";"13887.00";"73";"";"9865.00";"6689957610.00";"";"";"";"0.061";"0.00";"0.682";"44";"44";"0.00";"1.00";"0.422";"0.55";"0.03";"12503652.00";"0.34";"125000000.00";"";53
"Afghanistan";"Asia";"12/1/2000";"0.05";"";"781.00";"5.61538";"";"";"";"";"";"";"0.095";"";"";"56";"54";"";"1.00";"0.495";"0.49";"0.02";"20595360.00";"0.21";"";"";54
"Armenia";"Asia";"12/1/2000";"0.01";"";"3465.00";"11.4615";"";"2015.00";"1911563665.00";"0.06";"39.00";"";"0.027";"0.00";"0.316";"75";"68";"0.00";"1.00";"0.259";"0.64";"0.10";"3076098.00";"0.65";"52000000.00";"56000000.00";55
"Azerbaijan";"Asia";"12/1/2000";"0.02";"";"29508.00";"36.1538";"";"11296.00";"5272617196.00";"0.05";"30.00";"";"0.061";"0.00";"0.197";"70";"64";"0.10";"1.00";"0.311";"0.63";"0.06";"8048600.00";"0.51";"68000000.00";"138000000.00";56
"Bangladesh";"Asia";"12/1/2000";"0.03";"";"27869.00";"34.3846";"";"18591.00";"47124925462.00";"0.03";"10.00";"";"0.064";"0.00";"0.155";"66";"65";"0.00";"1.00";"0.370";"0.59";"0.04";"132383265.00";"0.24";"50000000.00";"471000000.00";57
"Bhutan";"Asia";"12/1/2000";"0.03";"";"400.00";"38.9231";"";"";"439158233.00";"0.07";"52.00";"";"0.059";"0.00";"0.160";"60";"60";"";"1.00";"0.406";"0.56";"0.04";"564350.00";"0.25";"10000000.00";"";58
"Brunei Darussalam";"Asia";"12/1/2000";"0.02";"";"6527.00";"59.3077";"";"2385.00";"6001153318.00";"0.03";"543.00";"";"0.008";"0.10";"0.055";"78";"74";"0.30";"1.00";"0.304";"0.67";"0.03";"331801.00";"0.71";"";"";59
"Cambodia";"Asia";"12/1/2000";"0.03";"";"1977.00";"73.5385";"";"3412.00";"3654031716.00";"0.06";"19.00";"";"0.082";"0.00";"";"65";"59";"0.00";"1.00";"0.408";"0.55";"0.04";"12222871.00";"0.19";"345000000.00";"52000000.00";60
"China";"Asia";"12/1/2000";"0.01";"";"3405180.00";"30.9231";"";"1161353.00";"1198474937925.00";"0.05";"43.00";"";"0.030";"0.00";"0.059";"74";"71";"0.10";"1.00";"0.256";"0.68";"0.07";"1262645000.00";"0.36";"17318000000.00";"14169000000.00";61
"Georgia";"Asia";"12/1/2000";"0.01";"";"4536.00";"8.53846";"";"2869.00";"3057453461.00";"0.07";"45.00";"";"0.031";"0.00";"0.247";"75";"68";"0.00";"1.00";"0.219";"0.66";"0.13";"4418300.00";"0.53";"107000000.00";"129000000.00";62
